name,time,delta_time,robotname,timeout,value
angle,1765803985331058325,0.10000009834766388,robot-74956b8544-ppzzd,1,0.04444362595677376
angle,1765803985442239918,0.21127267181873322,robot-74956b8544-ppzzd,1,0.051880575716495514
angle,1765803985553427745,0.3224552571773529,robot-74956b8544-ppzzd,1,0.042154811322689056
angle,1765803985664597416,0.4336431324481964,robot-74956b8544-ppzzd,1,0.02453042007982731
angle,1765803985775783041,0.544812798500061,robot-74956b8544-ppzzd,1,0.004505117889493704
angle,1765803985886963805,0.6559984683990479,robot-74956b8544-ppzzd,1,-0.014511595480144024
angle,1765803985998147481,0.7671791911125183,robot-74956b8544-ppzzd,1,-0.030336756259202957
angle,1765803986109320753,0.8783628940582275,robot-74956b8544-ppzzd,1,-0.04168793931603432
angle,1765803986220502893,0.9895360469818115,robot-74956b8544-ppzzd,1,-0.04802391678094864
angle,1765803986331677219,1.1007182598114014,robot-74956b8544-ppzzd,1,-0.04941742867231369
angle,1765803986442858781,1.2118924856185913,robot-74956b8544-ppzzd,1,-0.046421851962804794
angle,1765803986554038837,1.3230741024017334,robot-74956b8544-ppzzd,1,-0.03992849588394165
angle,1765803986665223194,1.4342541694641113,robot-74956b8544-ppzzd,1,-0.03102210909128189
angle,1765803986776407128,1.545438528060913,robot-74956b8544-ppzzd,1,-0.02084464579820633
angle,1765803986887591786,1.6566224098205566,robot-74956b8544-ppzzd,1,-0.010476870462298393
angle,1765803986998765345,1.7678070068359375,robot-74956b8544-ppzzd,1,-0.000845398753881454
